rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
848,50,193,0.15,6,,clustered,0.6;-0.3,13,15,2,11,8,2,0,4,2,2,2,edgeCount
847,50,166,0.15,5,,clustered,0.6;-0.3,22,19,3,19,0,5,2,5,5,2,0,edgeCount
846,50,187,0.15,7,,clustered,0.6;-0.3,18,5,3,15,0,9,6,17,17,14,0,edgeCount
845,50,189,0.15,5,,clustered,0.6;-0.3,8,33,3,5,0,3,0,3,3,0,0,edgeCount
844,50,205,0.15,6,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,50,201,0.15,3,,clustered,0.6;-0.3,13,9,3,10,24,7,4,7,7,4,8,edgeCount
842,50,160,0.15,3,,clustered,0.6;-0.3,8,4,4,4,0,10,6,10,10,6,0,edgeCount
841,50,195,0.15,7,,clustered,0.6;-0.3,4,20,4,0,0,26,22,14,14,10,0,edgeCount
840,50,176,0.15,6,,clustered,0.6;-0.3,23,13,3,20,0,-1,-4,-1,-1,-4,0,edgeCount
839,50,170,0.15,7,,clustered,0.6;-0.3,3,4,3,0,12,11,8,11,11,8,4,edgeCount
838,50,191,0.15,7,,clustered,0.6;-0.3,17,6,3,14,52,-1,-4,28,32,25,12,edgeCount
837,50,180,0.15,5,,clustered,0.6;-0.3,11,17,3,8,0,7,4,11,11,8,0,edgeCount
836,50,190,0.15,5,,clustered,0.6;-0.3,12,8,3,9,0,7,4,7,7,4,0,edgeCount
835,50,189,0.15,5,,clustered,0.6;-0.3,22,40,2,20,0,2,0,10,2,8,0,edgeCount
834,50,182,0.15,8,,clustered,0.6;-0.3,57,37,3,54,10,-1,-4,26,26,23,4,edgeCount
833,50,196,0.15,7,,clustered,0.6;-0.3,49,11,3,46,0,13,10,11,13,8,0,edgeCount
832,50,181,0.15,7,,clustered,0.6;-0.3,15,9,3,12,0,11,8,11,11,8,0,edgeCount
831,50,173,0.15,5,,clustered,0.6;-0.3,3,9,3,0,16,11,8,11,7,8,6,edgeCount
830,50,177,0.15,5,,clustered,0.6;-0.3,15,17,4,11,0,15,11,15,15,11,0,edgeCount
829,50,172,0.15,6,,clustered,0.6;-0.3,53,31,4,49,4,-1,-5,-1,-1,-5,2,edgeCount
828,50,199,0.15,7,,clustered,0.6;-0.3,15,3,3,12,46,5,2,3,5,0,10,edgeCount
827,50,208,0.15,6,,clustered,0.6;-0.3,13,5,3,10,0,3,0,3,3,0,0,edgeCount
826,50,179,0.15,6,,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
825,50,187,0.15,7,,clustered,0.6;-0.3,3,14,3,0,28,7,4,5,9,2,8,edgeCount
824,50,196,0.15,7,,clustered,0.6;-0.3,10,5,3,7,0,20,17,20,20,17,0,edgeCount
823,50,187,0.15,5,,clustered,0.6;-0.3,15,5,3,12,8,5,2,3,5,0,2,edgeCount
822,50,209,0.15,10,,clustered,0.6;-0.3,29,11,3,26,6,7,4,11,15,8,2,edgeCount
821,50,197,0.15,4,,clustered,0.6;-0.3,5,12,3,2,32,3,0,3,3,0,8,edgeCount
820,50,182,0.15,3,,clustered,0.6;-0.3,4,12,2,2,0,2,0,2,2,0,0,edgeCount
819,50,168,0.15,5,,clustered,0.6;-0.3,10,9,3,7,24,8,5,8,14,5,8,edgeCount
818,50,166,0.15,8,,clustered,0.6;-0.3,25,45,4,21,0,29,25,29,29,25,0,edgeCount
817,50,176,0.15,5,,clustered,0.6;-0.3,4,35,3,1,38,16,13,16,16,13,14,edgeCount
816,50,182,0.15,9,,clustered,0.6;-0.3,25,5,3,22,0,7,4,7,13,4,0,edgeCount
815,50,157,0.15,2,,clustered,0.6;-0.3,12,17,3,9,20,3,0,3,3,0,10,edgeCount
814,50,193,0.15,9,,clustered,0.6;-0.3,3,3,2,1,32,8,6,7,8,5,8,edgeCount
813,50,192,0.15,4,,clustered,0.6;-0.3,4,10,4,0,0,14,10,14,14,10,0,edgeCount
812,50,177,0.15,7,,clustered,0.6;-0.3,3,29,3,0,0,11,8,9,11,6,0,edgeCount
811,50,194,0.15,10,,clustered,0.6;-0.3,6,12,3,3,0,9,6,7,11,4,0,edgeCount
810,50,192,0.15,7,,clustered,0.6;-0.3,14,13,3,11,40,26,23,26,26,23,10,edgeCount
809,50,196,0.15,4,,clustered,0.6;-0.3,12,2,2,10,0,2,0,2,2,0,0,edgeCount
808,50,190,0.15,5,,clustered,0.6;-0.3,8,3,3,5,0,5,2,3,5,0,0,edgeCount
807,50,194,0.15,10,,clustered,0.6;-0.3,12,4,2,10,12,2,0,6,2,4,4,edgeCount
806,50,187,0.15,3,,clustered,0.6;-0.3,28,18,4,24,18,-1,-5,16,14,12,6,edgeCount
805,50,189,0.15,8,,clustered,0.6;-0.3,39,33,3,36,0,-1,-4,-1,-1,-4,0,edgeCount
804,50,184,0.15,6,,clustered,0.6;-0.3,3,3,2,1,24,4,2,9,4,7,8,edgeCount
803,50,188,0.15,3,,clustered,0.6;-0.3,22,8,3,19,18,10,7,10,10,7,6,edgeCount
802,50,172,0.15,7,,clustered,0.6;-0.3,3,25,3,0,20,9,6,9,9,6,6,edgeCount
801,50,176,0.15,5,,clustered,0.6;-0.3,33,3,2,31,30,2,0,4,2,2,10,edgeCount
800,50,198,0.15,7,,clustered,0.6;-0.3,55,13,3,52,0,3,0,3,3,0,0,edgeCount
799,50,163,0.15,5,,clustered,0.6;-0.3,10,5,2,8,28,4,2,8,4,6,10,edgeCount
798,50,182,0.15,3,,clustered,0.6;-0.3,8,3,3,5,24,-1,-4,22,18,19,10,edgeCount
797,50,199,0.15,6,,clustered,0.6;-0.3,6,4,2,4,0,2,0,11,2,9,0,edgeCount
796,50,198,0.15,6,,clustered,0.6;-0.3,8,11,2,6,16,2,0,3,2,1,6,edgeCount
795,50,172,0.15,2,,clustered,0.6;-0.3,14,12,4,10,24,-1,-5,10,10,6,12,edgeCount
794,50,184,0.15,5,,clustered,0.6;-0.3,38,10,5,33,0,-1,-6,-1,-1,-6,0,edgeCount
793,50,181,0.15,3,,clustered,0.6;-0.3,2,4,2,0,24,2,0,2,2,0,8,edgeCount
792,50,170,0.15,7,,clustered,0.6;-0.3,3,45,3,0,8,13,10,9,9,6,2,edgeCount
791,50,195,0.15,7,,clustered,0.6;-0.3,11,9,3,8,0,11,8,11,11,8,0,edgeCount
790,50,208,0.15,5,,clustered,0.6;-0.3,9,3,3,6,0,7,4,11,11,8,0,edgeCount
789,50,192,0.15,5,,clustered,0.6;-0.3,4,13,4,0,0,24,20,24,24,20,0,edgeCount
788,50,199,0.15,8,,clustered,0.6;-0.3,4,10,3,1,20,15,12,15,15,12,6,edgeCount
787,50,187,0.15,6,,clustered,0.6;-0.3,15,4,3,12,8,3,0,3,3,0,2,edgeCount
786,50,169,0.15,7,,clustered,0.6;-0.3,4,55,4,0,0,20,16,20,20,16,0,edgeCount
785,50,169,0.15,3,,clustered,0.6;-0.3,22,28,4,18,30,-1,-5,33,33,29,10,edgeCount
784,50,190,0.15,6,,clustered,0.6;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
783,50,172,0.15,5,,clustered,0.6;-0.3,3,2,2,1,30,2,0,10,2,8,10,edgeCount
782,50,169,0.15,7,,clustered,0.6;-0.3,35,8,3,32,4,11,8,7,7,4,2,edgeCount
781,50,199,0.15,8,,clustered,0.6;-0.3,8,6,3,5,0,16,13,20,20,17,0,edgeCount
780,50,177,0.15,6,,clustered,0.6;-0.3,20,3,3,17,0,3,0,3,3,0,0,edgeCount
779,50,202,0.15,6,,clustered,0.6;-0.3,4,5,3,1,26,5,2,3,7,0,8,edgeCount
778,50,175,0.15,8,,clustered,0.6;-0.3,6,12,3,3,0,3,0,9,9,6,0,edgeCount
777,50,200,0.15,9,,clustered,0.6;-0.3,14,3,3,11,0,5,2,3,5,0,0,edgeCount
776,50,178,0.15,6,,clustered,0.6;-0.3,57,41,3,54,0,-1,-4,-1,-1,-4,0,edgeCount
775,50,184,0.15,5,,clustered,0.6;-0.3,23,11,4,19,20,-1,-5,-1,-1,-5,6,edgeCount
774,50,197,0.15,5,,clustered,0.6;-0.3,5,7,3,2,18,3,0,3,3,0,4,edgeCount
773,50,200,0.15,6,,clustered,0.6;-0.3,12,6,3,9,50,-1,-4,20,6,17,16,edgeCount
772,50,182,0.15,7,,clustered,0.6;-0.3,18,4,2,16,0,4,2,6,4,4,0,edgeCount
771,50,179,0.15,6,,clustered,0.6;-0.3,49,17,2,47,12,2,0,10,2,8,4,edgeCount
770,50,168,0.15,8,,clustered,0.6;-0.3,32,2,2,30,22,2,0,2,2,0,6,edgeCount
769,50,173,0.15,5,,clustered,0.6;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
768,50,205,0.15,5,,clustered,0.6;-0.3,19,5,3,16,0,7,4,7,7,4,0,edgeCount
767,50,182,0.15,7,,clustered,0.6;-0.3,3,6,3,0,0,9,6,7,9,4,0,edgeCount
766,50,174,0.15,2,,clustered,0.6;-0.3,15,25,4,11,36,-1,-5,11,15,7,18,edgeCount
765,50,187,0.15,4,,clustered,0.6;-0.3,6,3,3,3,0,5,2,3,5,0,0,edgeCount
764,50,185,0.15,8,,clustered,0.6;-0.3,15,15,3,12,18,15,12,15,13,12,6,edgeCount
763,50,203,0.15,6,,clustered,0.6;-0.3,10,10,4,6,42,8,4,8,8,4,10,edgeCount
762,50,178,0.15,7,,clustered,0.6;-0.3,-1,-1,3,-4,0,-1,-4,-1,-1,-4,0,edgeCount
761,50,167,0.15,6,,clustered,0.6;-0.3,20,4,4,16,16,-1,-5,-1,-1,-5,6,edgeCount
760,50,206,0.15,6,,clustered,0.6;-0.3,3,3,2,1,32,2,0,3,2,1,8,edgeCount
759,50,185,0.15,9,,clustered,0.6;-0.3,40,2,2,38,8,2,0,3,2,1,2,edgeCount
