rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
871,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
870,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
869,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
868,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
867,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
866,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
865,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
864,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
863,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
862,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
861,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,22,22,10,12,0,16,6,16,16,6,0,edgeCount
860,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,35,19,14,21,2,-1,-15,33,33,19,2,edgeCount
859,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
858,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,14,14,14,0,4,-1,-15,14,14,0,4,edgeCount
857,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
856,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
855,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
854,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
853,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
852,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
851,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
849,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
848,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
847,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,61,61,16,45,0,61,45,61,61,45,0,edgeCount
846,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
845,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
844,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
843,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
842,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
841,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,28,28,15,13,0,28,13,28,28,13,0,edgeCount
840,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
839,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
838,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
837,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,16,-17,0,-1,-17,-1,-1,-17,0,edgeCount
836,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
835,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
834,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
833,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,21,7,7,14,0,7,0,7,7,0,0,edgeCount
832,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
831,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
830,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
829,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
828,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
827,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
826,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
825,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
824,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
823,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
822,110,148,graphml/Interoute.graphml,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
821,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
820,110,148,graphml/Interoute.graphml,1,,clustered,0.8;-0.3,-1,-1,14,-15,6,-1,-15,-1,-1,-15,6,edgeCount
819,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
818,110,148,graphml/Interoute.graphml,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
