rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
846,93,103,graphml/Oteglobe.graphml,3,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
845,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,27,27,11,16,6,-1,-12,27,27,16,6,edgeCount
844,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
843,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
842,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,12,7,0,2,7,0,7,12,0,2,edgeCount
841,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,3,3,3,0,0,3,0,3,3,0,0,edgeCount
840,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
839,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,6,6,6,0,2,6,0,6,6,0,2,edgeCount
838,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,5,1,2,6,1,6,6,1,2,edgeCount
837,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,11,7,0,2,7,0,7,11,0,2,edgeCount
836,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,2,2,2,0,4,2,0,2,2,0,4,edgeCount
835,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,12,10,10,2,2,28,18,28,28,18,2,edgeCount
834,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,10,11,10,0,2,10,0,10,11,0,2,edgeCount
833,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
832,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,7,16,7,0,2,7,0,7,16,0,2,edgeCount
831,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
830,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
829,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,11,11,11,0,2,11,0,11,11,0,2,edgeCount
828,93,103,graphml/Oteglobe.graphml,1,,clustered,0.3;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
827,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,11,9,9,2,0,9,0,9,9,0,0,edgeCount
826,93,103,graphml/Oteglobe.graphml,2,,clustered,0.3;-0.3,3,3,2,1,0,2,0,2,2,0,0,edgeCount
