rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch,nodeAdditions,hopsPath,hopsRankedOne,hopsUnrankedOne,overallNodeAdditionsOne
259,100,267,0.05,6,5,adversarial,0.89,3,3,5,-2,0,38,3,3,0
258,100,260,0.05,4,3,adversarial,0.63,4,4,5,-1,8,17,4,4,2
257,100,249,0.05,6,5,adversarial,0.79,3,3,5,-2,0,29,3,3,0
256,100,242,0.05,5,4,adversarial,0.75,3,3,3,0,0,7,3,3,0
255,100,230,0.05,5,4,adversarial,0.82,2,2,4,-2,4,6,2,2,2
254,100,268,0.05,4,3,adversarial,0.8,3,3,3,0,10,3,3,3,4
253,100,241,0.05,4,3,adversarial,0.36,4,4,4,0,0,4,4,4,0
252,100,231,0.05,5,4,adversarial,0.84,3,3,4,-1,0,14,3,3,0
251,100,259,0.05,4,3,adversarial,0.41,4,4,4,0,0,4,4,4,0
250,100,207,0.05,4,3,adversarial,0.51,2,2,2,0,0,2,2,2,0
249,100,252,0.05,1,0,adversarial,0.83,3,3,3,0,0,3,3,3,0
248,100,250,0.05,4,3,adversarial,0.83,3,3,3,0,0,7,3,3,0
247,100,242,0.05,3,2,adversarial,0.49,4,4,4,0,8,4,4,4,4
246,100,236,0.05,5,4,adversarial,0.73,3,3,4,-1,4,21,3,3,2
245,100,245,0.05,2,1,adversarial,0.54,3,6,4,-1,8,8,3,3,4
244,100,253,0.05,4,3,adversarial,0.83,2,2,2,0,8,2,2,2,4
243,100,236,0.05,2,1,adversarial,0.54,5,5,5,0,0,14,5,5,0
242,100,231,0.05,3,2,adversarial,0.76,3,3,3,0,0,3,3,3,0
241,100,241,0.05,3,2,adversarial,0.76,3,3,3,0,0,11,3,3,0
240,100,248,0.05,3,2,adversarial,0.32,3,3,3,0,0,3,3,3,0
239,100,246,0.05,4,3,adversarial,0.48,3,3,3,0,0,10,3,3,0
238,100,251,0.05,4,3,adversarial,0.79,2,2,4,-2,8,6,2,2,4
237,100,230,0.05,1,0,adversarial,0.63,3,3,3,0,0,3,3,3,0
236,100,261,0.05,5,4,adversarial,0.65,2,2,3,-1,10,5,2,2,4
235,100,236,0.05,2,1,adversarial,0.31,3,4,3,0,20,3,3,3,10
234,100,222,0.05,2,1,adversarial,0.49,4,8,5,-1,8,11,4,4,4
233,100,253,0.05,5,4,adversarial,0.79,3,3,4,-1,10,20,3,3,4
232,100,263,0.05,4,3,adversarial,0.33,3,3,3,0,0,3,3,3,0
231,100,239,0.05,4,3,adversarial,0.59,4,4,4,0,0,11,4,4,0
230,100,263,0.05,2,1,adversarial,0.81,4,6,4,0,0,4,4,4,0
229,100,262,0.05,4,3,adversarial,0.67,3,3,5,-2,0,17,3,3,0
228,100,267,0.05,5,4,adversarial,0.37,3,3,3,0,6,3,3,3,2
227,100,226,0.05,3,2,adversarial,0.6,5,6,5,0,0,5,5,5,0
226,100,253,0.05,6,5,adversarial,0.34,2,2,2,0,0,2,2,2,0
225,100,266,0.05,3,2,adversarial,0.4,3,3,3,0,0,3,3,3,0
224,100,230,0.05,4,3,adversarial,0.89,2,2,3,-1,0,5,2,2,0
223,100,263,0.05,5,4,adversarial,0.67,3,4,3,0,0,18,3,3,0
222,100,242,0.05,3,2,adversarial,0.5,3,3,3,0,0,3,3,3,0
221,100,262,0.05,2,1,adversarial,0.89,3,4,3,0,12,3,3,3,6
220,100,251,0.05,3,2,adversarial,0.44,4,4,2,2,20,2,2,2,8
219,100,244,0.05,3,2,adversarial,0.39,4,5,4,0,0,4,4,4,0
218,100,229,0.05,1,0,adversarial,0.56,5,6,6,-1,6,8,5,6,6
217,100,249,0.05,2,1,adversarial,0.49,4,6,4,0,0,4,4,4,0
216,100,229,0.05,3,2,adversarial,0.84,3,3,4,-1,12,8,3,3,6
215,100,279,0.05,6,5,adversarial,0.84,3,3,3,0,16,3,3,3,6
214,100,230,0.05,4,3,adversarial,0.72,4,7,4,0,4,10,4,4,2
213,100,251,0.05,5,4,adversarial,0.32,3,3,3,0,10,7,3,3,4
212,100,271,0.05,5,4,adversarial,0.74,2,2,3,-1,0,5,2,2,0
211,100,264,0.05,5,4,adversarial,0.33,2,2,2,0,0,2,2,2,0
210,100,242,0.05,3,2,adversarial,0.78,3,3,4,-1,0,15,3,3,0
209,100,235,0.05,2,1,adversarial,0.45,3,3,3,0,0,3,3,3,0
208,100,232,0.05,1,0,adversarial,0.69,4,4,4,0,0,4,4,4,0
207,100,264,0.05,3,2,adversarial,0.82,4,4,5,-1,0,11,4,4,0
206,100,223,0.05,2,1,adversarial,0.63,4,4,4,0,10,4,4,4,6
205,100,257,0.05,1,0,adversarial,0.72,3,3,3,0,0,3,3,3,0
204,100,257,0.05,8,7,adversarial,0.85,2,2,2,0,6,2,2,2,2
203,100,242,0.05,1,0,adversarial,0.59,4,4,4,0,0,4,4,4,0
202,100,284,0.05,3,2,adversarial,0.8,3,6,5,-2,8,14,3,3,4
201,100,257,0.05,4,3,adversarial,0.32,2,2,2,0,0,2,2,2,0
200,100,259,0.05,6,5,adversarial,0.85,3,3,3,0,4,3,3,3,2
199,100,283,0.05,7,6,adversarial,0.56,2,2,2,0,0,11,2,2,0
198,100,240,0.05,4,3,adversarial,0.36,3,3,3,0,14,7,3,3,6
197,100,245,0.05,4,3,adversarial,0.65,2,2,4,-2,0,6,2,2,0
195,100,262,0.05,1,0,adversarial,0.48,3,6,4,-1,12,4,3,6,12
194,100,248,0.05,4,3,adversarial,0.68,3,3,4,-1,10,15,3,3,4
193,100,250,0.05,5,4,adversarial,0.7,3,3,3,0,12,8,3,3,4
192,100,229,0.05,3,2,adversarial,0.74,4,4,4,0,4,10,4,4,2
191,100,235,0.05,1,0,adversarial,0.75,4,4,4,0,0,4,4,4,0
190,100,224,0.05,3,2,adversarial,0.59,3,6,3,0,0,3,3,3,0
189,100,257,0.05,5,4,adversarial,0.49,3,3,3,0,0,3,3,3,0
188,100,253,0.05,5,4,adversarial,0.49,2,2,2,0,12,2,2,2,6
187,100,244,0.05,5,4,adversarial,0.78,3,3,5,-2,0,25,3,3,0
186,100,282,0.05,6,5,adversarial,0.33,2,2,3,-1,0,5,2,2,0
185,100,253,0.05,3,2,adversarial,0.38,3,4,2,1,12,2,2,2,6
184,100,248,0.05,4,3,adversarial,0.83,3,3,3,0,6,3,3,3,2
183,100,248,0.05,1,0,adversarial,0.46,5,5,5,0,0,5,5,5,0
182,100,248,0.05,3,2,adversarial,0.47,4,4,4,0,0,4,4,4,0
181,100,258,0.05,3,2,adversarial,0.53,3,3,4,-1,0,8,3,3,0
180,100,250,0.05,6,5,adversarial,0.59,3,3,3,0,0,3,3,3,0
179,100,249,0.05,3,2,adversarial,0.49,3,3,3,0,10,7,3,3,4
178,100,256,0.05,6,5,adversarial,0.81,3,3,4,-1,4,8,3,3,2
177,100,217,0.05,5,4,adversarial,0.59,3,3,5,-2,0,9,3,3,0
176,100,252,0.05,5,4,adversarial,0.63,3,3,4,-1,12,12,3,3,6
175,100,259,0.05,1,0,adversarial,0.34,4,4,4,0,12,4,4,4,12
