rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
833,100,92,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
832,100,114,0.02,1,,clustered,0.5;-0.3,6,6,6,0,2,6,0,6,6,0,2,edgeCount
831,100,98,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
830,100,120,0.02,2,,clustered,0.5;-0.3,10,7,4,6,2,4,0,4,11,0,2,edgeCount
829,100,109,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
828,100,104,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
827,100,114,0.02,2,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
826,100,93,0.02,1,,clustered,0.5;-0.3,11,11,11,0,0,11,0,11,11,0,0,edgeCount
825,100,106,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
824,100,107,0.02,1,,clustered,0.5;-0.3,10,8,8,2,2,-1,-9,10,8,2,2,edgeCount
823,100,92,0.02,2,,clustered,0.5;-0.3,12,12,6,6,0,12,6,12,12,6,0,edgeCount
822,100,93,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
821,100,104,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
820,100,101,0.02,1,,clustered,0.5;-0.3,8,8,8,0,0,8,0,8,8,0,0,edgeCount
819,100,91,0.02,2,,clustered,0.5;-0.3,17,21,5,12,4,-1,-6,-1,-1,-6,4,edgeCount
818,100,104,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
817,100,96,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
816,100,95,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
815,100,104,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
814,100,102,0.02,2,,clustered,0.5;-0.3,16,16,6,10,0,16,10,16,16,10,0,edgeCount
813,100,85,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
812,100,99,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
811,100,109,0.02,2,,clustered,0.5;-0.3,16,16,6,10,2,6,0,6,24,0,2,edgeCount
810,100,92,0.02,2,,clustered,0.5;-0.3,20,20,6,14,0,14,8,14,14,8,0,edgeCount
809,100,102,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
808,100,106,0.02,2,,clustered,0.5;-0.3,7,11,7,0,2,11,4,11,11,4,2,edgeCount
807,100,125,0.02,1,,clustered,0.5;-0.3,8,8,8,0,8,8,0,8,8,0,8,edgeCount
806,100,93,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
805,100,90,0.02,1,,clustered,0.5;-0.3,-1,-1,9,-10,0,-1,-10,-1,-1,-10,0,edgeCount
804,100,94,0.02,2,,clustered,0.5;-0.3,13,13,5,8,0,13,8,13,13,8,0,edgeCount
803,100,89,0.02,2,,clustered,0.5;-0.3,7,7,7,0,2,7,0,7,7,0,2,edgeCount
802,100,98,0.02,2,,clustered,0.5;-0.3,8,8,8,0,2,8,0,8,22,0,2,edgeCount
801,100,105,0.02,2,,clustered,0.5;-0.3,4,4,3,1,0,4,1,4,4,1,0,edgeCount
800,100,112,0.02,2,,clustered,0.5;-0.3,-1,-1,10,-11,0,-1,-11,-1,-1,-11,0,edgeCount
799,100,102,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
798,100,93,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
797,100,107,0.02,1,,clustered,0.5;-0.3,9,9,9,0,0,9,0,9,9,0,0,edgeCount
796,100,94,0.02,2,,clustered,0.5;-0.3,8,5,5,3,4,14,9,14,36,9,4,edgeCount
795,100,104,0.02,1,,clustered,0.5;-0.3,2,2,2,0,4,2,0,2,2,0,4,edgeCount
794,100,121,0.02,3,,clustered,0.5;-0.3,12,19,6,6,0,20,14,20,20,14,0,edgeCount
793,100,93,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
792,100,90,0.02,1,,clustered,0.5;-0.3,20,20,8,12,8,-1,-9,20,20,12,8,edgeCount
791,100,107,0.02,1,,clustered,0.5;-0.3,6,26,6,0,4,6,0,6,26,0,4,edgeCount
790,100,91,0.02,1,,clustered,0.5;-0.3,6,6,6,0,2,6,0,6,6,0,2,edgeCount
789,100,104,0.02,1,,clustered,0.5;-0.3,16,16,8,8,2,-1,-9,16,16,8,2,edgeCount
788,100,106,0.02,1,,clustered,0.5;-0.3,19,19,8,11,2,-1,-9,19,19,11,2,edgeCount
787,100,99,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
786,100,108,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
785,100,109,0.02,3,,clustered,0.5;-0.3,15,17,3,12,2,3,0,3,3,0,2,edgeCount
784,100,119,0.02,2,,clustered,0.5;-0.3,24,10,8,16,0,-1,-9,-1,-1,-9,0,edgeCount
783,100,92,0.02,1,,clustered,0.5;-0.3,2,2,2,0,0,2,0,2,2,0,0,edgeCount
782,100,110,0.02,1,,clustered,0.5;-0.3,5,5,5,0,0,5,0,5,5,0,0,edgeCount
781,100,96,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
780,100,113,0.02,1,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
779,100,92,0.02,2,,clustered,0.5;-0.3,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,edgeCount
778,100,99,0.02,2,,clustered,0.5;-0.3,17,17,7,10,0,17,10,17,17,10,0,edgeCount
777,100,121,0.02,2,,clustered,0.5;-0.3,13,24,9,4,0,29,20,29,29,20,0,edgeCount
776,100,106,0.02,2,,clustered,0.5;-0.3,4,4,4,0,0,4,0,4,4,0,0,edgeCount
775,100,112,0.02,1,,clustered,0.5;-0.3,-1,-1,10,-11,4,-1,-11,-1,-1,-11,4,edgeCount
774,100,102,0.02,2,,clustered,0.5;-0.3,9,11,9,0,0,19,10,19,19,10,0,edgeCount
773,100,111,0.02,2,,clustered,0.5;-0.3,6,6,6,0,0,6,0,6,6,0,0,edgeCount
772,100,106,0.02,2,,clustered,0.5;-0.3,8,12,8,0,0,14,6,14,14,6,0,edgeCount
771,100,98,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
770,100,111,0.02,1,,clustered,0.5;-0.3,7,7,7,0,0,7,0,7,7,0,0,edgeCount
769,100,99,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
768,100,105,0.02,3,,clustered,0.5;-0.3,8,44,8,0,2,22,14,22,22,14,2,edgeCount
767,100,118,0.02,1,,clustered,0.5;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
766,100,80,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
765,100,103,0.02,2,,clustered,0.5;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
764,100,107,0.02,1,,clustered,0.5;-0.3,14,14,6,8,2,-1,-7,14,14,8,2,edgeCount
763,100,90,0.02,1,,clustered,0.5;-0.3,-1,-1,20,-21,8,-1,-21,-1,-1,-21,8,edgeCount
