rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
753,50,176,0.15,3,,clustered,0.7;-0.3,6,18,4,2,0,-1,-5,-1,-1,-5,0,edgeCount
752,50,190,0.15,7,,clustered,0.7;-0.3,4,6,2,2,0,2,0,5,2,3,0,edgeCount
751,50,196,0.15,5,,clustered,0.7;-0.3,13,9,3,10,0,9,6,7,9,4,0,edgeCount
750,50,178,0.15,6,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
749,50,168,0.15,5,,clustered,0.7;-0.3,7,11,3,4,0,10,7,16,16,13,0,edgeCount
748,50,203,0.15,4,,clustered,0.7;-0.3,9,3,3,6,20,5,2,3,5,0,8,edgeCount
747,50,166,0.15,7,,clustered,0.7;-0.3,8,26,4,4,0,10,6,10,10,6,0,edgeCount
746,50,187,0.15,9,,clustered,0.7;-0.3,46,42,4,42,8,-1,-5,-1,-1,-5,2,edgeCount
745,50,210,0.15,6,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
744,50,173,0.15,6,,clustered,0.7;-0.3,7,5,2,5,30,4,2,4,4,2,10,edgeCount
743,50,181,0.15,6,,clustered,0.7;-0.3,34,4,4,30,8,-1,-5,-1,-1,-5,2,edgeCount
742,50,162,0.15,4,,clustered,0.7;-0.3,12,18,4,8,12,-1,-5,-1,-1,-5,4,edgeCount
741,50,169,0.15,8,,clustered,0.7;-0.3,12,16,4,8,8,20,16,20,26,16,2,edgeCount
740,50,169,0.15,6,,clustered,0.7;-0.3,62,46,5,57,12,-1,-6,-1,-1,-6,4,edgeCount
739,50,169,0.15,4,,clustered,0.7;-0.3,14,26,3,11,34,5,2,5,19,2,10,edgeCount
738,50,177,0.15,7,,clustered,0.7;-0.3,34,4,4,30,0,-1,-5,-1,-1,-5,0,edgeCount
737,50,181,0.15,10,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
736,50,197,0.15,6,,clustered,0.7;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
735,50,192,0.15,4,,clustered,0.7;-0.3,6,22,4,2,0,-1,-5,-1,-1,-5,0,edgeCount
734,50,186,0.15,5,,clustered,0.7;-0.3,10,4,4,6,14,-1,-5,-1,-1,-5,4,edgeCount
733,50,161,0.15,3,,clustered,0.7;-0.3,5,10,3,2,18,-1,-4,-1,-1,-4,6,edgeCount
