rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
851,100,258,0.05,4,3,clustered,0.5;-0.15,34,34,4,30,0,17,13,17,17,13,0,shortest
850,100,238,0.05,7,6,clustered,0.5;-0.15,37,37,4,33,0,-1,-5,-1,-1,-5,0,shortest
849,100,254,0.05,4,3,clustered,0.5;-0.15,20,20,4,16,0,8,4,8,8,4,0,shortest
848,100,265,0.05,5,4,clustered,0.5;-0.15,29,29,5,24,0,-1,-6,-1,-1,-6,0,shortest
847,100,267,0.05,5,4,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
846,100,237,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,10,-1,-7,-1,-1,-7,6,shortest
845,100,269,0.05,4,3,clustered,0.5;-0.15,6,6,4,2,6,12,8,6,6,2,2,shortest
844,100,249,0.05,5,4,clustered,0.5;-0.15,6,6,4,2,0,-1,-5,-1,-1,-5,0,shortest
843,100,231,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,2,-1,-6,-1,-1,-6,2,shortest
842,100,238,0.05,6,5,clustered,0.5;-0.15,47,41,6,41,12,21,15,21,21,15,4,shortest
841,100,247,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,6,-1,-6,-1,-1,-6,2,shortest
840,100,273,0.05,4,3,clustered,0.5;-0.15,20,20,4,16,12,6,2,6,6,2,4,shortest
839,100,250,0.05,6,5,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
838,100,242,0.05,3,2,clustered,0.5;-0.15,4,4,4,0,4,4,0,4,4,0,2,shortest
837,100,265,0.05,4,3,clustered,0.5;-0.15,37,37,4,33,0,-1,-5,-1,-1,-5,0,shortest
835,100,254,0.05,4,3,clustered,0.5;-0.15,7,7,5,2,6,7,2,7,7,2,2,shortest
834,100,243,0.05,3,2,clustered,0.5;-0.15,29,29,5,24,10,-1,-6,27,25,22,6,shortest
833,100,246,0.05,5,4,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
832,100,261,0.05,3,2,clustered,0.5;-0.15,-1,-1,8,-9,22,-1,-9,-1,-1,-9,10,shortest
831,100,270,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
830,100,241,0.05,4,3,clustered,0.5;-0.15,13,13,5,8,0,13,8,13,13,8,0,shortest
829,100,236,0.05,4,3,clustered,0.5;-0.15,15,15,5,10,0,-1,-6,-1,-1,-6,0,shortest
827,100,229,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
826,100,244,0.05,2,1,clustered,0.5;-0.15,18,18,5,13,0,-1,-6,-1,-1,-6,0,shortest
825,100,249,0.05,3,2,clustered,0.5;-0.15,11,7,5,6,0,7,2,11,11,6,0,shortest
824,100,227,0.05,1,0,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
822,100,197,0.05,1,0,clustered,0.5;-0.15,5,5,5,0,0,5,0,5,5,0,0,shortest
820,100,254,0.05,4,3,clustered,0.5;-0.15,4,4,4,0,10,4,0,4,4,0,4,shortest
816,100,242,0.05,3,2,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
815,100,225,0.05,3,2,clustered,0.5;-0.15,19,17,6,13,0,-1,-7,-1,-1,-7,0,shortest
814,100,254,0.05,2,1,clustered,0.5;-0.15,7,11,5,2,16,9,4,9,17,4,8,shortest
813,100,237,0.05,3,2,clustered,0.5;-0.15,3,17,3,0,14,3,0,3,3,0,6,shortest
812,100,239,0.05,7,6,clustered,0.5;-0.15,-1,-1,5,-6,2,-1,-6,-1,-1,-6,2,shortest
811,100,237,0.05,7,6,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
810,100,254,0.05,2,1,clustered,0.5;-0.15,10,12,4,6,0,8,4,4,4,0,0,shortest
809,100,263,0.05,5,4,clustered,0.5;-0.15,-1,-1,6,-7,2,-1,-7,-1,-1,-7,2,shortest
808,100,252,0.05,5,4,clustered,0.5;-0.15,13,19,5,8,0,-1,-6,-1,-1,-6,0,shortest
807,100,239,0.05,5,4,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
806,100,264,0.05,5,4,clustered,0.5;-0.15,6,6,4,2,10,10,6,6,6,2,4,shortest
805,100,224,0.05,3,2,clustered,0.5;-0.15,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,shortest
804,100,261,0.05,6,5,clustered,0.5;-0.15,25,23,5,20,16,-1,-6,-1,-1,-6,6,shortest
803,100,228,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,10,-1,-5,-1,-1,-5,4,shortest
802,100,245,0.05,4,3,clustered,0.5;-0.15,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,shortest
799,100,254,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,shortest
798,100,274,0.05,2,1,clustered,0.5;-0.15,26,18,6,20,4,-1,-7,14,12,8,2,shortest
796,100,232,0.05,4,3,clustered,0.5;-0.15,5,5,4,1,4,6,2,6,6,2,2,shortest
794,100,251,0.05,5,4,clustered,0.5;-0.15,21,29,5,16,6,-1,-6,-1,-1,-6,2,shortest
793,100,238,0.05,1,0,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
792,100,224,0.05,4,3,clustered,0.5;-0.15,2,2,2,0,4,2,0,2,2,0,2,shortest
791,100,203,0.05,5,4,clustered,0.5;-0.15,2,2,2,0,2,2,0,2,2,0,2,shortest
789,100,268,0.05,6,5,clustered,0.5;-0.15,7,7,3,4,0,3,0,7,7,4,0,shortest
788,100,262,0.05,4,3,clustered,0.5;-0.15,-1,-1,5,-6,14,-1,-6,-1,-1,-6,6,shortest
787,100,240,0.05,3,2,clustered,0.5;-0.15,2,2,2,0,6,2,0,2,2,0,4,shortest
786,100,261,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,0,-1,-7,-1,-1,-7,0,shortest
785,100,251,0.05,3,2,clustered,0.5;-0.15,4,4,4,0,20,4,0,4,4,0,10,shortest
783,100,257,0.05,6,5,clustered,0.5;-0.15,37,37,5,32,0,-1,-6,-1,-1,-6,0,shortest
782,100,293,0.05,4,3,clustered,0.5;-0.15,9,9,6,3,0,-1,-7,-1,-1,-7,0,shortest
781,100,261,0.05,5,4,clustered,0.5;-0.15,8,8,5,3,0,9,4,11,11,6,0,shortest
780,100,215,0.05,2,1,clustered,0.5;-0.15,-1,-1,6,-7,8,-1,-7,-1,-1,-7,4,shortest
779,100,224,0.05,5,4,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
777,100,251,0.05,6,5,clustered,0.5;-0.15,21,17,5,16,0,-1,-6,-1,-1,-6,0,shortest
776,100,237,0.05,5,4,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
775,100,234,0.05,3,2,clustered,0.5;-0.15,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,shortest
773,100,249,0.05,6,5,clustered,0.5;-0.15,6,22,4,2,18,6,2,6,6,2,6,shortest
772,100,230,0.05,3,2,clustered,0.5;-0.15,11,31,5,6,2,11,6,11,11,6,2,shortest
770,100,244,0.05,5,4,clustered,0.5;-0.15,3,3,3,0,4,3,0,3,3,0,2,shortest
769,100,300,0.05,4,3,clustered,0.5;-0.15,38,38,4,34,12,-1,-5,-1,-1,-5,4,shortest
768,100,276,0.05,4,3,clustered,0.5;-0.15,3,3,3,0,32,3,0,3,3,0,12,shortest
767,100,237,0.05,1,0,clustered,0.5;-0.15,-1,-1,5,-6,10,-1,-6,-1,-1,-6,10,shortest
766,100,262,0.05,2,1,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
765,100,245,0.05,6,5,clustered,0.5;-0.15,23,29,5,18,0,17,12,17,17,12,0,shortest
763,100,230,0.05,4,3,clustered,0.5;-0.15,7,7,5,2,0,13,8,13,13,8,0,shortest
762,100,259,0.05,2,1,clustered,0.5;-0.15,5,15,5,0,0,7,2,7,7,2,0,shortest
760,100,256,0.05,6,5,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
758,100,268,0.05,4,3,clustered,0.5;-0.15,-1,-1,6,-7,18,-1,-7,-1,-1,-7,8,shortest
757,100,283,0.05,5,4,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,shortest
756,100,257,0.05,4,3,clustered,0.5;-0.15,3,3,3,0,6,3,0,3,3,0,2,shortest
755,100,263,0.05,5,4,clustered,0.5;-0.15,-1,-1,5,-6,20,-1,-6,-1,-1,-6,8,shortest
754,100,254,0.05,1,0,clustered,0.5;-0.15,-1,-1,7,-8,14,-1,-8,-1,-1,-8,14,shortest
753,100,243,0.05,3,2,clustered,0.5;-0.15,-1,-1,4,-5,8,-1,-5,-1,-1,-5,4,shortest
752,100,250,0.05,4,3,clustered,0.5;-0.15,37,37,5,32,0,17,12,17,17,12,0,shortest
751,100,252,0.05,3,2,clustered,0.5;-0.15,6,6,5,1,14,-1,-6,-1,-1,-6,6,shortest
749,100,271,0.05,4,3,clustered,0.5;-0.15,10,16,6,4,0,-1,-7,-1,-1,-7,0,shortest
748,100,253,0.05,3,2,clustered,0.5;-0.15,3,3,3,0,0,3,0,3,3,0,0,shortest
747,100,235,0.05,4,3,clustered,0.5;-0.15,15,17,4,11,8,-1,-5,-1,-1,-5,4,shortest
746,100,247,0.05,4,3,clustered,0.5;-0.15,9,17,5,4,2,-1,-6,-1,-1,-6,2,shortest
745,100,260,0.05,4,3,clustered,0.5;-0.15,7,15,3,4,0,9,6,9,9,6,0,shortest
744,100,256,0.05,5,4,clustered,0.5;-0.15,15,25,3,12,0,-1,-4,-1,-1,-4,0,shortest
742,100,244,0.05,5,4,clustered,0.5;-0.15,-1,-1,7,-8,0,-1,-8,-1,-1,-8,0,shortest
741,100,219,0.05,2,1,clustered,0.5;-0.15,5,5,5,0,0,5,0,5,5,0,0,shortest
740,100,261,0.05,6,5,clustered,0.5;-0.15,27,23,4,23,20,-1,-5,-1,-1,-5,8,shortest
738,100,238,0.05,5,4,clustered,0.5;-0.15,15,15,3,12,2,-1,-4,-1,-1,-4,2,shortest
737,100,229,0.05,4,3,clustered,0.5;-0.15,2,2,2,0,0,2,0,2,2,0,0,shortest
735,100,235,0.05,2,1,clustered,0.5;-0.15,38,38,5,33,8,12,7,16,16,11,4,shortest
733,100,241,0.05,8,7,clustered,0.5;-0.15,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,shortest
732,100,255,0.05,5,4,clustered,0.5;-0.15,-1,-1,8,-9,14,-1,-9,-1,-1,-9,6,shortest
730,100,272,0.05,4,3,clustered,0.5;-0.15,42,42,6,36,28,-1,-7,29,27,23,10,shortest
729,100,252,0.05,2,1,clustered,0.5;-0.15,-1,-1,5,-6,8,-1,-6,-1,-1,-6,4,shortest
727,100,252,0.05,4,3,clustered,0.5;-0.15,28,28,5,23,4,-1,-6,-1,-1,-6,2,shortest
726,100,245,0.05,4,3,clustered,0.5;-0.15,4,4,4,0,4,4,0,4,4,0,2,shortest
725,100,258,0.05,5,4,clustered,0.5;-0.15,9,17,3,6,30,6,3,6,14,3,12,shortest
723,100,249,0.05,4,3,clustered,0.5;-0.15,15,21,4,11,0,-1,-5,-1,-1,-5,0,shortest
722,100,240,0.05,7,6,clustered,0.5;-0.15,50,50,4,46,0,-1,-5,-1,-1,-5,0,shortest
721,100,204,0.05,5,4,clustered,0.5;-0.15,18,18,4,14,8,10,6,14,14,10,4,shortest
720,100,266,0.05,4,3,clustered,0.5;-0.15,4,8,4,0,4,6,2,6,6,2,2,shortest
