rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
873,25,42,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
872,25,44,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
871,25,47,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,2,edgeCount
870,25,46,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
869,25,36,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,6,edgeCount
868,25,52,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
867,25,48,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
866,25,49,0.15,3,,clustered,0.8;-0.3,-1,-1,4,-5,0,-1,-5,-1,-1,-5,0,edgeCount
865,25,49,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
864,25,47,0.15,5,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
863,25,44,0.15,2,,clustered,0.8;-0.3,4,4,4,0,0,8,4,4,4,0,0,edgeCount
862,25,47,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
861,25,52,0.15,2,,clustered,0.8;-0.3,-1,-1,7,-8,10,-1,-8,-1,-1,-8,6,edgeCount
860,25,32,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
859,25,40,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,8,-1,0,-1,-1,0,8,edgeCount
858,25,44,0.15,3,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
857,25,46,0.15,3,,clustered,0.8;-0.3,9,9,4,5,4,-1,-5,-1,-1,-5,2,edgeCount
856,25,40,0.15,2,,clustered,0.8;-0.3,-1,-1,4,-5,2,-1,-5,-1,-1,-5,2,edgeCount
855,25,38,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
854,25,45,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
853,25,47,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
852,25,46,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
851,25,44,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
850,25,50,0.15,4,,clustered,0.8;-0.3,-1,-1,5,-6,0,-1,-6,-1,-1,-6,0,edgeCount
849,25,51,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,6,edgeCount
848,25,47,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,8,edgeCount
847,25,47,0.15,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
846,25,44,0.15,1,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
845,25,47,0.15,2,,clustered,0.8;-0.3,-1,-1,-1,0,6,-1,0,-1,-1,0,4,edgeCount
