rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
838,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
837,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
836,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
835,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
834,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
833,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,12,28,12,0,4,28,16,28,40,16,4,edgeCount
832,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,4,-1,0,-1,-1,0,4,edgeCount
831,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
830,197,243,graphml/Cogentco.graphml,3,,clustered,0.9;-0.3,-1,-1,-1,0,12,-1,0,-1,-1,0,12,edgeCount
829,197,243,graphml/Cogentco.graphml,1,,clustered,0.9;-0.3,-1,-1,-1,0,2,-1,0,-1,-1,0,2,edgeCount
828,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
827,197,243,graphml/Cogentco.graphml,2,,clustered,0.9;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
