rep,nrNodes,nrEdges,edgeProb,nrPaths,nrFails,failureModel,failurePercent,hopsRanked,hopsUnranked,spLength,stretch_mult,nodeAdditions,hopsPath,stretch_path,hopsRankedOne,hopsUnrankedOne,stretch_one,overallNodeAdditionsOne,treeChoice
53,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
52,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
51,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
50,100,200,4,4,,clustered,0.8;-0.3,6,24,6,0,0,14,8,14,14,8,0,edgeCount
49,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
48,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
47,100,200,4,4,,clustered,0.8;-0.3,5,51,5,0,0,19,14,19,19,14,0,edgeCount
46,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
45,100,200,4,4,,clustered,0.8;-0.3,-1,-1,-1,0,0,-1,0,-1,-1,0,0,edgeCount
44,100,200,4,4,,clustered,0.8;-0.3,24,8,7,17,0,-1,-8,-1,-1,-8,0,edgeCount
43,100,200,4,4,,clustered,0.8;-0.3,31,13,7,24,0,-1,-8,-1,-1,-8,0,edgeCount
